Category,Term,Weight(1-100),Type,Typical_Context/Notes
Human,Qualitative,90,Adjective,Non-numerical
Human,Longitudinal,85,Adjective,Over time
Human,Cross-sectional,85,Adjective,One point in time
Human,Limited,88,Adjective,Scope restriction
Human,Valid,85,Adjective,Logically sound
Human,Reliable,85,Adjective,Consistent results
Human,Notably,80,Adverb,Worth mention
Human,Subsequent,82,Adjective,Following
Human,Prior,85,Adjective,Previous
Human,Given,80,Adjective,Assuming
Human,Apparent,75,Adjective,Seeming
Human,Plausible,80,Adjective,Reasonable
Human,Evidence,97,Noun,Proof
Human,Findings,96,Noun,Results
Human,Limitation,95,Noun,Weakness of study
Human,Discrepancy,92,Noun,Difference
Human,Correlation,90,Noun,Statistical link
Human,Participant,89,Noun,Subject
Human,Variable,88,Noun,Changed factor
Human,Hypothesis,87,Noun,Prediction
Human,Methodology,86,Noun,How it was done
Human,Extent,84,Noun,Scope/Degree
Human,Analysis,90,Noun,Review of data
Human,Cohort,85,Noun,Group of subjects
Human,Deviation,88,Noun,Variance
Human,Variance,88,Noun,Difference
Human,Implication,85,Noun,Consequence
Human,Scope,82,Noun,Range
Human,Protocol,84,Noun,Procedure
Human,Literature,85,Noun,Previous work
Human,Phenomenon,80,Noun,Occurrence
Human,Mechanism,82,Noun,How it works
Human,Effect,85,Noun,Result
Human,Causality,88,Noun,Cause and effect
Human,Bias,85,Noun,Skew
Human,Validity,85,Noun,Accuracy
Human,Results indicate,95,Phrase,Data driven
Human,In contrast to,94,Phrase,Comparison
Human,To our knowledge,92,Phrase,Scope limitation
Human,It is argued,90,Phrase,Theoretical stance
Human,Data suggest,89,Phrase,Evidence based
Human,Consistent with,88,Phrase,Literature alignment
Human,Future research,87,Phrase,Next steps
Human,Standard deviation,90,Phrase,Statistical term
Human,Respectively,85,Phrase,Order listing
Human,On the contrary,80,Phrase,Rebuttal
Human,In summary,80,Phrase,Brief conclusion
Human,Account for,82,Phrase,Explain
Human,Stem from,80,Phrase,Origin
Human,Subject to,78,Phrase,Dependent on
Human,Within the scope,85,Phrase,Limitation
Human,Focus on,80,Phrase,Direction
Human,Difference between,85,Phrase,Comparison
Human,Relationship between,85,Phrase,Correlation
